,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin_europe,origin_japan,origin_usa
0,0.2393617021276596,1.0,0.6175710594315246,0.4565217391304348,0.5361497022965693,0.23809523809523803,0.0,0.0,0.0,1.0
1,0.15957446808510636,1.0,0.7286821705426357,0.6467391304347826,0.5897363198185427,0.20833333333333337,0.0,0.0,0.0,1.0
2,0.2393617021276596,1.0,0.6459948320413437,0.5652173913043478,0.5168698610717324,0.1785714285714286,0.0,0.0,0.0,1.0
3,0.18617021276595744,1.0,0.6098191214470284,0.5652173913043478,0.5160192798412249,0.23809523809523803,0.0,0.0,0.0,1.0
4,0.2127659574468085,1.0,0.6046511627906976,0.5108695652173912,0.5205557130705982,0.14880952380952384,0.0,0.0,0.0,1.0
5,0.15957446808510636,1.0,0.9328165374677002,0.826086956521739,0.7734618656081657,0.11904761904761907,0.0,0.0,0.0,1.0
6,0.1329787234042553,1.0,0.9974160206718348,0.9456521739130435,0.7771477176070315,0.059523809523809534,0.0,0.0,0.0,1.0
7,0.1329787234042553,1.0,0.9612403100775193,0.9184782608695652,0.7652395803799262,0.029761904761904767,0.0,0.0,0.0,1.0
8,0.1329787234042553,1.0,1.0,0.9728260869565217,0.797278140062376,0.11904761904761907,0.0,0.0,0.0,1.0
9,0.15957446808510636,1.0,0.8320413436692506,0.7826086956521738,0.6342500708817692,0.029761904761904767,0.0,0.0,0.0,1.0
10,0.15957446808510636,1.0,0.813953488372093,0.6739130434782609,0.5528777998298838,0.11904761904761907,0.0,0.0,0.0,1.0
11,0.1329787234042553,1.0,0.702842377260982,0.6195652173913043,0.5659200453643324,0.0,0.0,0.0,0.0,1.0
12,0.15957446808510636,1.0,0.8578811369509045,0.5652173913043478,0.6090161610433796,0.0892857142857143,0.0,0.0,0.0,1.0
13,0.1329787234042553,1.0,1.0,0.9728260869565217,0.4176353841791891,0.11904761904761907,0.0,0.0,0.0,1.0
14,0.39893617021276595,0.19999999999999996,0.11627906976744184,0.2663043478260869,0.21519705131840094,0.41666666666666663,0.0,0.0,1.0,0.0
15,0.3457446808510638,0.6000000000000001,0.3359173126614987,0.2663043478260869,0.3459030337397222,0.4464285714285714,0.0,0.0,0.0,1.0
16,0.2393617021276596,0.6000000000000001,0.33850129198966405,0.27717391304347827,0.3291749362064077,0.4464285714285714,0.0,0.0,0.0,1.0
17,0.3191489361702128,0.6000000000000001,0.3410852713178295,0.21195652173913043,0.2761553728381061,0.47619047619047616,0.0,0.0,0.0,1.0
18,0.4787234042553191,0.19999999999999996,0.07493540051679587,0.2282608695652174,0.14658349872412813,0.38690476190476186,0.0,0.0,1.0,0.0
19,0.4521276595744681,0.19999999999999996,0.07493540051679587,0.0,0.06294301105755595,0.744047619047619,0.0,1.0,0.0,0.0
20,0.42553191489361697,0.19999999999999996,0.10852713178294571,0.22282608695652173,0.3002551743691523,0.5654761904761904,0.0,1.0,0.0,0.0
21,0.39893617021276595,0.19999999999999996,0.10077519379844962,0.2391304347826087,0.23164162177487946,0.38690476190476186,0.0,1.0,0.0,0.0
22,0.42553191489361697,0.19999999999999996,0.09302325581395349,0.2663043478260869,0.21604763254890846,0.5654761904761904,0.0,1.0,0.0,0.0
23,0.4521276595744681,0.19999999999999996,0.13695090439276486,0.36413043478260865,0.1760703147150553,0.2678571428571428,0.0,1.0,0.0,0.0
24,0.3191489361702128,0.6000000000000001,0.33850129198966405,0.2391304347826087,0.2934505245250921,0.41666666666666663,0.0,0.0,0.0,1.0
25,0.026595744680851047,1.0,0.7545219638242894,0.9184782608695652,0.8511482846611852,0.3571428571428571,0.0,0.0,0.0,1.0
26,0.026595744680851047,1.0,0.6175710594315246,0.8369565217391304,0.7833853132974199,0.41666666666666663,0.0,0.0,0.0,1.0
27,0.05319148936170212,1.0,0.6459948320413437,0.8913043478260869,0.7850864757584349,0.32738095238095233,0.0,0.0,0.0,1.0
28,0.0,1.0,0.6098191214470284,0.7989130434782608,0.8843209526509782,0.6249999999999999,0.0,0.0,0.0,1.0
